tipo_adm;origem;credor;divida;valor_contratado;saldo;correcao;juros;dt_inicio;dt_fim;prazo
adm_direta;Externa;Titulos;MOBILIARIA;-;7723233,55;DOLAR/LIBRA;-;-;47482;-
adm_indireta;Interna;CAIXA;CEHAB - AGUA BRANCA;448000;0;TR;0,036;33974;43348;25,68219178
adm_indireta;Interna;INSS/SRF;CEHAB - INSS;12472270,91;14597811,67;SELIC;0,12;40143;45595;14,9369863
adm_indireta;Interna;INSS/SRF;METRO EM LIQUIDACAO;5145000;42362,76;TJLP;-;37773;43271;15,0630137
adm_indireta;Interna;STN/SRF;RIOTRILHOS - DMLP;32041000;93690078,35;DOLAR;1,125% (Libor+0,8125%) e 6%;35166;45393;28,01917808
adm_indireta;Interna;INSS;CEASA;7644960,93;5171029,31;SELIC;-;40724;45595;13,34520548
adm_indireta;Interna;SRF;IVB PAES/PAEX;4924000;259606,78;TJLP;0,034248;38990;42916;10,75616438
adm_indireta;Interna;INSS;IVB LEI 11.941/99;1846313,12;0;SELIC;-;40116;42643;6,923287671
adm_indireta;Interna;INSS;EMOP;18541355,5;9946528,89;-;-;42976;46597;9,920547945
adm_indireta;Interna;INSS;CODIN;1678345,49;1379571,02;-;SELIC;42976;46597;9,920547945
adm_indireta;Interna;INSS;EMATER;22965593,15;22112683;-;SELIC;42976;46597;9,920547945
adm_indireta;Interna;INSS;PESAGRO;9585170,69;9272994,11;-;SELIC;42976;46597;9,920547945
adm_indireta;Interna;INSS;RIOTRILHOS;5529428,04;0;-;SELIC;42976;46597;9,920547945
adm_indireta;Interna;SRF;TURISRIO;44699,3;2494578,02;-;SELIC;42976;46597;9,920547945
adm_indireta;Interna;CRF/CAIXA;IVB - Parcelamento Privado;4964228,09;1132171,39;-;-;40133;43464;9,126027397
adm_indireta;Interna;IVB;IVB CRISTALIA;29000000;18871227,21;-;-;41205;43761;7,002739726
adm_indireta;Interna;Sec_Rec_Federal;FLUMITRENS;39805326,26;24608323,8;-;SELIC;41606;47085;15,0109589
adm_indireta;Interna;Sec_Rec_Federal;CEPERJ;110735,63;13542;-;SELIC;43039;46295;8,920547945
adm_indireta;Interna;Sec_Rec_Federal;FIPERJ;89242,08;92620,46;-;SELIC;43039;43738;1,915068493
adm_indireta;Interna;Sec_Rec_Federal;FTM;539319,55;433271,25;-;SELIC;43007;46628;9,920547945
adm_indireta;Interna;Sec_Rec_Federal;IEEA;124124,95;72145,99;-;SELIC;43006;45989;8,17260274
adm_indireta;Interna;SRF/INSS;CENTRAL;11249981,98;9406850,73;-;SELIC;42978;46599;9,920547945
adm_indireta;Interna;Sec_Rec_Federal;UEZO;127757,51;0;-;SELIC;43007;46324;9,087671233
adm_indireta;Interna;Sec_Rec_Federal;FUNARJ;244352,88;189827,98;-;SELIC;43007;46629;9,923287671
adm_indireta;Interna;Sec_Rec_Federal;EMOP;6368493,52;3145375,6;-;SELIC;43007;46629;9,923287671
adm_indireta;Interna;Sec_Rec_Federal;PRODERJ;65899,71;0;-;SELIC;43039;44773;4,750684932
adm_indireta;Interna;Sec_Rec_Federal;CEHAB;11941708,13;519612,93;-;SELIC;43039;44773;4,750684932
